CustomerID,Gender,Age,Annual_Income,Spending_Score,Gender_Encoded,Cluster,Segment
141,Female,57,75,5,0,3,High Income Careful Spenders
142,Male,32,75,93,1,1,Premium Loyalists
143,Female,28,76,40,0,0,Average Customers
144,Female,32,76,87,0,1,Premium Loyalists
145,Male,25,77,12,1,3,High Income Careful Spenders
146,Male,28,77,97,1,1,Premium Loyalists
147,Male,48,77,36,1,3,High Income Careful Spenders
148,Female,32,77,74,0,1,Premium Loyalists
149,Female,34,78,22,0,3,High Income Careful Spenders
150,Male,34,78,90,1,1,Premium Loyalists
151,Male,43,78,17,1,3,High Income Careful Spenders
152,Male,39,78,88,1,1,Premium Loyalists
153,Female,44,78,20,0,3,High Income Careful Spenders
154,Female,38,78,76,0,1,Premium Loyalists
155,Female,47,78,16,0,3,High Income Careful Spenders
156,Female,27,78,89,0,1,Premium Loyalists
157,Male,37,78,1,1,3,High Income Careful Spenders
158,Female,30,78,78,0,1,Premium Loyalists
159,Male,34,78,1,1,3,High Income Careful Spenders
160,Female,30,78,73,0,1,Premium Loyalists
161,Female,56,79,35,0,3,High Income Careful Spenders
162,Female,29,79,83,0,1,Premium Loyalists
163,Male,19,81,5,1,3,High Income Careful Spenders
164,Female,31,81,93,0,1,Premium Loyalists
165,Male,50,85,26,1,3,High Income Careful Spenders
166,Female,36,85,75,0,1,Premium Loyalists
167,Male,42,86,20,1,3,High Income Careful Spenders
168,Female,33,86,95,0,1,Premium Loyalists
169,Female,36,87,27,0,3,High Income Careful Spenders
170,Male,32,87,63,1,1,Premium Loyalists
171,Male,40,87,13,1,3,High Income Careful Spenders
172,Male,28,87,75,1,1,Premium Loyalists
173,Male,36,87,10,1,3,High Income Careful Spenders
174,Male,36,87,92,1,1,Premium Loyalists
175,Female,52,88,13,0,3,High Income Careful Spenders
176,Female,30,88,86,0,1,Premium Loyalists
177,Male,58,88,15,1,3,High Income Careful Spenders
178,Male,27,88,69,1,1,Premium Loyalists
179,Male,59,93,14,1,3,High Income Careful Spenders
180,Male,35,93,90,1,1,Premium Loyalists
181,Female,37,97,32,0,3,High Income Careful Spenders
182,Female,32,97,86,0,1,Premium Loyalists
183,Male,46,98,15,1,3,High Income Careful Spenders
184,Female,29,98,88,0,1,Premium Loyalists
185,Female,41,99,39,0,3,High Income Careful Spenders
186,Male,30,99,97,1,1,Premium Loyalists
187,Female,54,101,24,0,3,High Income Careful Spenders
188,Male,28,101,68,1,1,Premium Loyalists
189,Female,41,103,17,0,3,High Income Careful Spenders
190,Female,36,103,85,0,1,Premium Loyalists
191,Female,34,103,23,0,3,High Income Careful Spenders
192,Female,32,103,69,0,1,Premium Loyalists
193,Male,33,113,8,1,3,High Income Careful Spenders
194,Female,38,113,91,0,1,Premium Loyalists
195,Female,47,120,16,0,3,High Income Careful Spenders
196,Female,35,120,79,0,1,Premium Loyalists
197,Female,45,126,28,0,3,High Income Careful Spenders
198,Male,32,126,74,1,1,Premium Loyalists
199,Male,32,137,18,1,3,High Income Careful Spenders
200,Male,30,137,83,1,1,Premium Loyalists
